date,value
2021-01,2711.0
2021-02,3629.0
2021-03,5213.0
2021-04,3314.0
2021-05,3378.0
2021-06,2945.0
2021-07,3417.0
2021-08,3894.0
2021-09,4247.0
2021-10,5061.0
2021-11,4241.0
2021-12,3888.0
2022-01,4020.0
2022-02,2882.0
2022-03,5253.0
2022-04,4276.0
2022-05,3235.0
2022-06,2751.0
2022-07,4542.0
2022-08,5610.0
2022-09,5640.0
2022-10,6233.0
2022-11,6298.0
2022-12,2551.0
2023-01,2445.0
2023-02,4165.0
2023-03,6676.0
2023-04,4237.0
2023-05,4615.0
2023-06,3676.0
2023-07,5247.0
2023-08,5510.0
2023-09,4520.0
2023-10,5150.0
2023-11,4641.0
2023-12,4568.0
2024-01,3304.0
2024-02,5508.0
2024-03,4779.0
2024-04,4309.0
2024-05,2081.0
2024-06,1163.0
2024-07,1741.0
2024-08,1948.0
2024-09,1659.0
2024-10,1650.0
2024-11,1455.0
2024-12,981.0
2025-01,850.0
2025-02,1114.0
2025-03,1437.0
2025-04,1140.0
2025-05,1089.0
2025-06,1705.0
2025-07,1075.0
2025-08,1727.0
2025-09,1755.0
2025-10,1613.0
2025-11,1224.0
2025-12,899.0
2026-01,894.0
2026-02,1107.0
2026-03,71.0
