date,who_cases_monthly,google_trends_dengue_fever,google_trends_dengue_vaccine,wikipedia_total_dengue_views,wikipedia_total_dengue_views_normalized,wikipedia_mosquito_views_total
2021-01,,9,29,10782.0,3129.2189,4016.0
2021-02,,10,28,10100.0,2981.6049,5137.0
2021-03,,11,26,10289.0,3208.6276,6699.0
2021-04,,14,29,8800.0,2849.3583,4463.0
2021-05,,12,41,9447.0,2184.4783,4546.0
2021-06,,14,35,13009.0,2911.5361,4369.0
2021-07,,22,56,21349.0,4433.2881,5056.0
2021-08,,34,54,35620.0,9340.807,5463.0
2021-09,,58,79,55083.0,18977.9464,5855.0
2021-10,,77,100,62856.0,25545.1687,6830.0
2021-11,,58,62,33621.0,11923.5522,6229.0
2021-12,,25,31,16159.0,4663.8559,5617.0
2022-01,,23,41,11244.0,2851.1882,5713.0
2022-02,,15,39,9029.0,2366.7911,4335.0
2022-03,,13,35,9603.0,2598.8767,7246.0
2022-04,,12,24,9781.0,2548.3312,5613.0
2022-05,,14,25,10872.0,1997.5654,4745.0
2022-06,,20,33,15980.0,3072.4912,4053.0
2022-07,,26,33,23568.0,4101.412,6549.0
2022-08,,39,35,34009.0,6089.7509,7663.0
2022-09,,55,52,57125.0,12615.5129,8289.0
2022-10,,66,55,76590.0,19115.2163,8785.0
2022-11,,57,56,74792.0,17743.3223,9289.0
2022-12,,24,31,20815.0,4299.3351,4520.0
2023-01,,18,25,14129.0,3051.7552,4432.0
2023-02,,20,33,15761.0,3130.4701,6233.0
2023-03,,15,29,15308.0,2798.3631,8913.0
2023-04,,13,23,10272.0,1858.0278,5732.0
2023-05,,13,30,18743.0,3090.554,6207.0
2023-06,,27,30,29014.0,3310.0027,5063.0
2023-07,,37,37,72223.0,8340.5954,7516.0
2023-08,,68,60,81651.0,11603.5597,7698.0
2023-09,,98,82,150368.0,19082.9673,6717.0
2023-10,,100,74,85115.0,13542.0717,7616.0
2023-11,,55,51,60939.0,8275.5723,7099.0
2023-12,,28,32,21841.0,3525.8816,7273.0
2024-01,5079.0,21,28,17390.0,2407.4712,5346.0
2024-02,5429.0,16,31,15334.0,2340.3037,7445.0
2024-03,5597.0,13,25,13968.0,1849.6489,6714.0
2024-04,3342.0,12,24,10261.0,1364.129,5552.0
2024-05,5145.0,14,35,14543.0,1592.341,3082.0
2024-06,7499.0,27,36,16505.0,1555.0182,2181.0
2024-07,27675.0,55,62,29905.0,2828.7245,3467.0
2024-08,32388.0,62,68,21251.0,2100.1749,3928.0
2024-09,41375.0,66,55,22844.0,2551.7948,3018.0
2024-10,51183.0,54,47,24239.0,2677.8742,3071.0
2024-11,30354.0,32,47,18976.0,2133.5331,2628.0
2024-12,17359.0,17,31,10532.0,1169.4372,2087.0
2025-01,4700.0,12,26,9411.0,1067.1823,1861.0
2025-02,3806.0,10,24,5840.0,742.0104,2000.0
2025-03,3517.0,10,27,5131.0,655.7098,2355.0
2025-04,2700.0,8,30,4519.0,602.5579,1769.0
2025-05,3766.0,9,30,7995.0,792.1904,1765.0
2025-06,6459.0,13,25,7501.0,791.9278,2450.0
2025-07,10302.0,18,38,7643.0,852.0587,1892.0
2025-08,14303.0,24,38,9983.0,1100.9271,2709.0
2025-09,18803.0,22,35,7044.0,908.633,2730.0
2025-10,22659.0,20,30,6021.0,771.3006,2470.0
2025-11,22175.0,17,38,5358.0,668.6939,2074.0
2025-12,7539.0,10,33,3621.0,488.4914,1760.0
2026-01,3544.0,8,28,2259.0,291.1217,1590.0
2026-02,3019.0,8,31,1960.0,279.3269,1752.0
2026-03,3085.0,7,23,2515.0,358.422,3485.0
2026-04,,6,38,2432.0,9.8334,3708.0
2026-05,,,,56.0,,85.0
