Month,Total_Views
2021-01,4661
2021-02,4092
2021-03,4826
2021-04,4627
2021-05,3203
2021-06,4223
2021-07,5927
2021-08,14094
2021-09,32170
2021-10,45920
2021-11,20624
2021-12,7315
2022-01,4078
2022-02,3338
2022-03,3800
2022-04,3964
2022-05,2476
2022-06,3980
2022-07,5005
2022-08,7492
2022-09,15655
2022-10,25254
2022-11,21723
2022-12,5379
2023-01,3894
2023-02,3558
2023-03,2914
2023-04,1935
2023-05,3126
2023-06,2475
2023-07,3726
2023-08,8402
2023-09,10569
2023-10,12389
2023-11,5624
2023-12,3387
2024-01,2022
2024-02,2171
2024-03,1375
2024-04,1088
2024-05,1012
2024-06,711
2024-07,1240
2024-08,1065
2024-09,1463
2024-10,1245
2024-11,960
2024-12,499
2025-01,560
2025-02,534
2025-03,476
2025-04,460
2025-05,416
2025-06,405
2025-07,486
2025-08,744
2025-09,444
2025-10,376
2025-11,271
2025-12,225
