timestamp,Hindi,Tamil,Marathi,Malayalam,Kannada,Gujarati,TOTAL_MONTHLY_VIEWS
2021-01,2562,831,263,14,294,0.0,3964.0
2021-02,3488,968,366,24,671,0.0,5517.0
2021-03,5030,914,389,11,812,0.0,7156.0
2021-04,3168,694,290,9,275,0.0,4436.0
2021-05,3172,706,284,10,170,0.0,4342.0
2021-06,2778,1005,261,30,436,0.0,4510.0
2021-07,3219,934,551,25,377,0.0,5106.0
2021-08,3714,925,429,36,328,0.0,5432.0
2021-09,4078,956,454,9,354,0.0,5851.0
2021-10,4886,958,589,9,281,0.0,6723.0
2021-11,4049,1280,481,16,267,0.0,6093.0
2021-12,3681,1139,375,5,462,0.0,5662.0
2022-01,3786,1076,321,9,224,0.0,5416.0
2022-02,2601,868,308,9,227,0.0,4013.0
2022-03,4809,1367,361,6,248,0.0,6791.0
2022-04,4016,707,380,2,414,0.0,5519.0
2022-05,2925,974,265,8,430,0.0,4602.0
2022-06,2474,695,375,17,558,0.0,4119.0
2022-07,4201,1004,702,13,897,0.0,6817.0
2022-08,5300,1223,559,24,663,0.0,7769.0
2022-09,5106,1449,896,5,587,0.0,8043.0
2022-10,5780,1639,627,16,519,0.0,8581.0
2022-11,5948,2141,623,7,445,0.0,9164.0
2022-12,2329,1345,346,5,328,0.0,4353.0
2023-01,2168,1408,319,6,280,0.0,4181.0
2023-02,3769,1401,383,11,478,0.0,6042.0
2023-03,6118,1498,357,2,256,0.0,8231.0
2023-04,3817,815,231,5,178,0.0,5046.0
2023-05,4180,1033,226,9,349,0.0,5797.0
2023-06,3301,822,241,17,306,0.0,4687.0
2023-07,4344,1204,584,15,823,0.0,6970.0
2023-08,4868,1066,654,41,1170,0.0,7799.0
2023-09,3953,1452,399,20,414,0.0,6238.0
2023-10,4515,1573,545,9,243,0.0,6885.0
2023-11,4275,1678,435,4,525,0.0,6917.0
2023-12,3825,1757,628,3,439,0.0,6652.0
2024-01,2642,1490,281,22,333,0.0,4768.0
2024-02,4828,1260,358,11,369,0.0,6826.0
2024-03,3979,1158,466,9,367,0.0,5979.0
2024-04,3549,767,221,7,222,0.0,4766.0
2024-05,1664,586,128,10,278,0.0,2666.0
2024-06,906,593,141,13,441,0.0,2094.0
2024-07,1418,867,488,23,905,0.0,3701.0
2024-08,1582,947,601,33,335,0.0,3498.0
2024-09,1367,625,433,8,268,0.0,2701.0
2024-10,1345,770,319,15,241,0.0,2690.0
2024-11,1191,786,167,9,139,0.0,2292.0
2024-12,794,724,170,3,206,0.0,1897.0
2025-01,658,666,162,10,285,0.0,1781.0
2025-02,885,546,154,4,108,0.0,1697.0
2025-03,1128,523,206,15,135,0.0,2007.0
2025-04,753,326,102,2,89,0.0,1272.0
2025-05,626,293,65,10,132,0.0,1126.0
2025-06,487,261,125,9,221,0.0,1103.0
2025-07,749,297,270,9,110,0.0,1435.0
2025-08,817,354,232,18,100,0.0,1521.0
2025-09,570,286,188,10,75,0.0,1129.0
2025-10,499,332,116,2,138,0.0,1087.0
2025-11,407,342,77,8,80,0.0,914.0
2025-12,299,249,121,5,110,0.0,784.0
