split_month,g_fever,g_vaccine,intercept,mosq_total_monthly_views,s_cos1,s_cos1_t,s_cos2,s_cos2_t,s_sin1,s_sin1_t,s_sin2,s_sin2_t,wiki_views,x_tilde_lag1,x_tilde_lag12,x_tilde_lag2
2024-11,8509.382247924805,-364.6184504032135,18036.945343017578,3654.3846130371094,-3191.694736480713,-785.0250601768494,-1714.6761417388916,2605.435371398926,-3638.2014751434326,-3600.3577709198,392.9232656955719,-4154.000759124756,-1036.890149116516,1730.3024530410767,4181.954860687256,3793.4935092926025
2024-12,8755.245208740234,45.63950002193451,18261.886596679688,4391.144752502441,-2828.9411067962646,2382.7993869781494,-1232.9696416854858,3213.212490081787,-4584.572792053223,-3707.4131965637207,-1339.8023843765259,-1314.7655725479126,-4375.648975372314,-308.4111511707306,4532.697677612305,3676.6724586486816
2025-01,7941.166400909424,133.00293684005737,18051.04637145996,4282.906532287598,-3683.5179328918457,3530.963659286499,-1162.005066871643,2673.124074935913,-4539.098739624023,-3030.31587600708,-1554.662585258484,-1.0363709880039096,-3929.2092323303223,250.0954270362854,4531.417369842529,3852.477550506592
2025-02,7903.337001800537,151.12556517124176,17836.040496826172,3223.7915992736816,-4020.1473236083984,3772.6755142211914,-302.7097284793854,-548.1079816818237,-4628.929138183594,-1423.7717390060425,-1360.7218265533447,400.43970942497253,-2861.51123046875,958.1632614135742,3487.3673915863037,4202.103614807129
2025-03,7464.6477699279785,244.1832423210144,17614.845275878906,3027.5371074676514,-3907.435894012451,3297.945737838745,66.58191233873367,-1612.2123003005981,-4394.794940948486,-1299.280047416687,-1297.2296476364136,312.36958503723145,-2619.10343170166,1438.2693767547607,3301.441431045532,4266.94393157959
2025-04,6895.968914031982,427.463561296463,17369.33135986328,2902.9977321624756,-4401.711463928223,3287.238836288452,-19.286569207906723,-1856.7273616790771,-3797.5988388061523,-1507.928967475891,-829.1482329368591,-466.11255407333374,-2291.5053367614746,1597.0348119735718,3341.5043354034424,4568.2854652404785
2025-05,6345.164775848389,487.3827397823334,17127.288818359375,2944.206714630127,-3737.8768920898438,1901.2746810913086,-255.40772080421448,-1457.6374292373657,-3510.0693702697754,-1853.2283306121826,-796.1894273757935,-648.5647559165955,-2225.89111328125,1754.0236711502075,3306.5996170043945,4742.375373840332
2025-06,6167.53625869751,311.71151995658875,16938.602447509766,3011.6662979125977,-3347.641944885254,961.492657661438,-814.193844795227,-693.4506893157959,-3428.497791290283,-1971.019983291626,-1143.2121992111206,-3.728021401911974,-2219.191551208496,1876.5027523040771,3330.7876586914062,4838.473320007324
2025-07,7007.359504699707,271.54645323753357,16828.121185302734,3273.62060546875,-4024.623394012451,2483.290910720825,-893.8504457473755,-344.20639276504517,-3583.810329437256,-1512.3552083969116,-301.68935656547546,-1412.7802848815918,-2475.6863117218018,1562.4465942382812,3063.9591217041016,4407.111167907715
2025-08,7268.157482147217,482.78820514678955,16761.932373046875,3848.9911556243896,-4077.4049758911133,2729.5546531677246,-906.7420959472656,663.341224193573,-3511.819362640381,18.3639544993639,-143.7404900789261,-1589.1727209091187,-2543.8308715820312,1432.4760437011719,4060.697078704834,3983.5691452026367
